Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME,daily_sentiment_score,S&P 500,Dow Jones,NASDAQ 100,Nikkei 225,FTSE 100,DAX 30
2023-07-05,341.65,338.15,334.73,335.09,346745.0,18172378.0,0.31,4446.82,34288.64,15203.78,33338.7,7442.1,15937.58
2023-07-06,342.99,341.27,335.5,337.3,453686.0,28195534.0,0.25,4411.59,33922.26,15089.45,32773.02,7280.5,15528.54
2023-07-08,339.6,335.42,333.86,337.75,408405.0,25073699.0,0.04,4402.48,33804.72,15039.78,32322.19,7262.53,15626.65
2023-07-09,337.42,333.63,330.73,336.17,479948.0,28932574.0,0.08,4406.0,33874.56,15042.71,32255.96,7268.17,15649.91
2023-07-10,335.23,331.83,327.59,334.6,551491.0,32791449.0,0.12,4409.53,33944.4,15045.64,32189.73,7273.8,15673.16
2023-07-11,332.86,332.47,327.0,331.06,428341.0,26698218.0,0.16,4439.26,34261.42,15119.06,32203.57,7282.5,15790.34
2023-07-12,341.65,337.2,335.67,336.6,443122.0,29995262.0,0.12,4472.16,34347.43,15307.23,31943.93,7416.1,16023.0
2023-07-13,343.74,342.66,339.02,339.56,352822.0,20567159.0,0.07,4510.04,34395.14,15571.98,32419.33,7440.2,16141.03
2023-07-14,351.43,345.24,344.31,347.59,474706.0,28352729.0,0.02,4505.42,34509.03,15565.6,32391.26,7434.6,16105.07
2023-07-15,349.95,345.4,343.61,346.95,434655.33,25689795.0,0.09,4511.21,34534.47,15614.83,32416.92,7425.2,16092.93
2023-07-16,348.47,345.57,342.9,346.32,394604.67,23026861.0,0.16,4517.0,34559.91,15664.05,32442.57,7415.8,16080.79
2023-07-17,346.99,345.73,342.2,345.68,354554.0,20363927.0,0.23,4522.79,34585.35,15713.28,32468.23,7406.4,16068.65
2023-07-18,366.78,359.49,342.17,345.83,903521.0,64872705.0,0.3,4554.98,34951.93,15841.35,32493.89,7453.7,16125.49
2023-07-19,362.46,355.08,352.44,361.75,627575.0,39732901.0,0.27,4565.72,35061.21,15826.35,32896.03,7588.2,16108.93
2023-07-20,357.97,346.87,345.37,353.57,537721.0,33778395.0,0.24,4534.87,35225.18,15466.09,32490.52,7646.1,16204.22
2023-07-22,349.17,344.22,340.66,348.05,484978.0,55176657.0,0.1,4542.44,35288.87,15433.12,32436.48,7668.67,16181.8
2023-07-23,348.05,344.66,341.48,346.95,436107.0,40947932.0,0.21,4548.54,35350.06,15440.57,32568.71,7673.63,16186.37
2023-07-24,346.92,345.11,342.31,345.85,387236.0,26719207.0,0.31,4554.64,35411.24,15448.02,32700.94,7678.6,16190.95
2023-07-25,351.89,350.98,345.07,347.11,622410.0,41637739.0,0.26,4567.46,35438.07,15561.42,32682.51,7691.8,16211.59
2023-07-26,344.67,337.77,333.11,341.44,990567.0,58383702.0,0.22,4566.75,35520.12,15499.26,32668.34,7676.9,16131.46
2023-07-27,341.33,330.72,329.05,340.48,745456.0,39635262.0,0.15,4537.41,35282.72,15464.93,32891.16,7692.8,16406.03
2023-07-28,340.01,338.37,333.17,333.67,447436.0,28484868.0,0.08,4582.23,35459.29,15750.93,32759.23,7694.3,16469.75
2023-07-29,339.24,337.55,333.23,334.75,452272.33,27471919.33,0.09,4584.47,35492.7,15752.95,32896.89,7696.0,16462.11
