Date,CLOSE,TimeGPT-lo-50,TimeGPT-lo-80,TimeGPT-lo-90,TimeGPT-hi-50,TimeGPT-hi-80,TimeGPT-hi-90
2014-04-11,40.24,38.61,37.13,36.25,41.88,43.36,44.24
2014-04-12,40.25,38.61,37.14,36.26,41.89,43.36,44.24
2014-04-13,40.22,38.58,37.11,36.23,41.86,43.33,44.21
2014-04-14,40.2,38.56,37.09,36.21,41.84,43.31,44.19
2014-04-15,40.19,38.56,37.08,36.2,41.83,43.3,44.19
2014-04-16,40.86,39.22,37.75,36.86,42.49,43.97,44.85
2014-04-17,39.75,38.12,36.64,35.76,41.39,42.86,43.75
2014-04-18,39.63,37.99,36.52,35.64,41.27,42.74,43.62
2014-04-19,39.65,38.01,36.54,35.66,41.28,42.76,43.64
2014-04-20,39.6,37.96,36.49,35.61,41.23,42.71,43.59
2014-04-21,39.61,37.98,36.5,35.62,41.25,42.72,43.61
2014-04-22,40.25,38.62,37.14,36.26,41.89,43.37,44.25
2014-04-23,40.89,39.25,37.78,36.9,42.53,44.0,44.88
2014-04-24,40.55,38.92,37.44,36.56,42.19,43.66,44.54
2014-04-25,40.52,38.88,37.41,36.52,42.15,43.63,44.51
2014-04-26,40.13,38.49,37.02,36.14,41.76,43.24,44.12
2014-04-27,40.06,38.43,36.95,36.07,41.7,43.17,44.05
2014-04-28,40.45,38.81,37.34,36.46,42.09,43.56,44.44
2014-04-29,40.51,38.88,37.4,36.52,42.15,43.62,44.51
2014-04-30,40.22,38.59,37.11,36.23,41.86,43.33,44.22
2014-05-01,40.36,38.72,37.25,36.37,42.0,43.47,44.35
2014-05-02,40.38,38.75,37.27,36.39,42.02,43.5,44.38
2014-05-03,40.7,39.06,37.59,36.71,42.34,43.81,44.69
2014-05-04,41.06,39.43,37.95,37.07,42.7,44.17,45.06
2014-05-05,41.43,39.79,38.32,37.43,43.06,44.54,45.42
2014-05-06,41.0,39.36,37.89,37.0,42.63,44.11,44.99
2014-05-07,40.93,39.29,37.82,36.94,42.57,44.04,44.92
2014-05-08,40.45,38.81,37.34,36.46,42.09,43.56,44.44
2014-05-09,40.1,38.46,36.99,36.11,41.74,43.21,44.09
2014-05-10,40.03,38.39,36.91,36.03,41.66,43.14,44.02
2014-05-11,39.99,38.36,36.88,36.0,41.63,43.1,43.99
2014-05-12,39.92,38.28,36.81,35.92,41.55,43.03,43.91
2014-05-13,39.56,37.92,36.45,35.57,41.2,42.67,43.55
2014-05-14,39.88,38.24,36.77,35.89,41.51,42.99,43.87
2014-05-15,40.1,38.47,36.99,36.11,41.74,43.21,44.1
2014-05-16,39.94,38.3,36.83,35.94,41.57,43.05,43.93
2014-05-17,40.04,38.41,36.93,36.05,41.68,43.15,44.03
2014-05-18,40.2,38.56,37.09,36.21,41.84,43.31,44.19
2014-05-19,40.36,38.72,37.25,36.37,42.0,43.47,44.35
2014-05-20,40.78,39.14,37.67,36.79,42.42,43.89,44.77
2014-05-21,40.62,38.99,37.51,36.63,42.26,43.73,44.62
2014-05-22,39.89,38.26,36.78,35.9,41.53,43.0,43.88
2014-05-23,39.9,38.26,36.79,35.91,41.54,43.01,43.89
2014-05-24,40.03,38.39,36.91,36.03,41.66,43.14,44.02
2014-05-25,40.07,38.44,36.96,36.08,41.71,43.19,44.07
2014-05-26,40.24,38.6,37.13,36.25,41.88,43.35,44.23
2014-05-27,40.04,38.4,36.93,36.04,41.67,43.15,44.03
2014-05-28,40.71,39.08,37.6,36.72,42.35,43.82,44.71
2014-05-29,40.39,38.75,37.28,36.4,42.03,43.5,44.38
2014-05-30,40.41,38.77,37.3,36.42,42.05,43.52,44.4
2014-05-31,40.41,38.77,37.3,36.42,42.04,43.52,44.4
2014-06-01,40.5,38.86,37.39,36.51,42.14,43.61,44.49
2014-06-02,40.35,38.71,37.23,36.35,41.98,43.46,44.34
2014-06-03,40.38,38.74,37.27,36.39,42.02,43.49,44.37
2014-06-04,40.2,38.57,37.09,36.21,41.84,43.31,44.2
2014-06-05,40.61,38.98,37.5,36.62,42.25,43.73,44.61
2014-06-06,41.27,39.63,38.16,37.28,42.91,44.38,45.26
2014-06-07,41.01,39.38,37.9,37.02,42.65,44.12,45.0
2014-06-08,40.91,39.27,37.79,36.91,42.54,44.02,44.9
2014-06-09,40.93,39.3,37.82,36.94,42.57,44.04,44.92
2014-06-10,40.45,38.81,37.34,36.46,42.09,43.56,44.44
2014-06-11,40.43,38.8,37.32,36.44,42.07,43.54,44.43
2014-06-12,41.44,39.8,38.33,37.44,43.07,44.55,45.43
2014-06-13,41.64,40.0,38.53,37.65,43.28,44.75,45.63
2014-06-14,41.53,39.89,38.42,37.54,43.17,44.64,45.52
2014-06-15,41.48,39.84,38.37,37.49,43.12,44.59,45.47
2014-06-16,41.45,39.81,38.34,37.46,43.09,44.56,45.44
2014-06-17,41.34,39.7,38.23,37.34,42.97,44.45,45.33
2014-06-18,41.04,39.41,37.93,37.05,42.68,44.16,45.04
2014-06-19,40.71,39.08,37.6,36.72,42.35,43.82,44.71
2014-06-20,41.38,39.75,38.27,37.39,43.02,44.49,45.38
2014-06-21,41.43,39.79,38.32,37.44,43.07,44.54,45.42
2014-06-22,41.85,40.21,38.74,37.86,43.49,44.96,45.84
2014-06-23,41.88,40.25,38.77,37.89,43.52,44.99,45.87
2014-06-24,42.13,40.5,39.02,38.14,43.77,45.24,46.13
2014-06-25,42.08,40.45,38.97,38.09,43.72,45.19,46.08
2014-06-26,42.01,40.37,38.9,38.02,43.64,45.12,46.0
2014-06-27,42.53,40.9,39.42,38.54,44.17,45.64,46.53
2014-06-28,42.36,40.72,39.25,38.37,44.0,45.47,46.35
2014-06-29,42.35,40.71,39.24,38.35,43.98,45.46,46.34
2014-06-30,42.45,40.81,39.34,38.46,44.09,45.56,46.44
2014-07-01,42.21,40.57,39.1,38.21,43.84,45.32,46.2
2014-07-02,42.46,40.82,39.35,38.47,44.1,45.57,46.45
2014-07-03,42.08,40.44,38.97,38.09,43.72,45.19,46.07
2014-07-04,42.5,40.87,39.39,38.51,44.14,45.61,46.49
2014-07-05,42.43,40.79,39.32,38.44,44.07,45.54,46.42
2014-07-06,42.28,40.64,39.17,38.29,43.91,45.39,46.27
2014-07-07,42.16,40.52,39.05,38.17,43.8,45.27,46.15
2014-07-08,42.36,40.72,39.25,38.37,43.99,45.47,46.35
2014-07-09,42.15,40.51,39.04,38.15,43.78,45.26,46.14
2014-07-10,42.18,40.55,39.07,38.19,43.82,45.29,46.18
2014-07-11,42.4,40.77,39.29,38.41,44.04,45.51,46.4
2014-07-12,42.2,40.56,39.09,38.21,43.83,45.31,46.19
2014-07-13,42.39,40.75,39.28,38.39,44.02,45.5,46.38
2014-07-14,42.44,40.8,39.33,38.45,44.08,45.55,46.43
2014-07-15,42.24,40.6,39.13,38.24,43.87,45.35,46.23
2014-07-16,43.25,41.61,40.13,39.25,44.88,46.36,47.24
2014-07-17,42.88,41.24,39.77,38.88,44.51,45.99,46.87
2014-07-18,42.54,40.9,39.43,38.55,44.18,45.65,46.53
2014-07-19,42.59,40.95,39.48,38.59,44.22,45.7,46.58
2014-07-20,42.62,40.98,39.51,38.62,44.25,45.73,46.61
2014-07-21,42.64,41.0,39.53,38.65,44.28,45.75,46.63
2014-07-22,42.96,41.33,39.85,38.97,44.6,46.07,46.96
2014-07-23,44.61,42.97,41.5,40.61,46.24,47.72,48.6
2014-07-24,45.03,43.4,41.92,41.04,46.67,48.14,49.03
2014-07-25,45.12,43.48,42.01,41.13,46.76,48.23,49.11
2014-07-26,45.17,43.53,42.06,41.18,46.81,48.28,49.16
2014-07-27,45.22,43.59,42.11,41.23,46.86,48.33,49.22
2014-07-28,45.33,43.69,42.22,41.34,46.97,48.44,49.32
2014-07-29,45.31,43.68,42.2,41.32,46.95,48.42,49.3
2014-07-30,45.39,43.75,42.28,41.4,47.03,48.5,49.38
2014-07-31,44.91,43.27,41.8,40.92,46.55,48.02,48.9
2014-08-01,45.0,43.36,41.89,41.0,46.63,48.11,48.99
2014-08-02,44.78,43.15,41.67,40.79,46.42,47.89,48.78
2014-08-03,44.64,43.0,41.53,40.65,46.28,47.75,48.63
2014-08-04,44.47,42.83,41.36,40.47,46.1,47.58,48.46
2014-08-05,44.42,42.78,41.31,40.42,46.05,47.53,48.41
2014-08-06,44.11,42.48,41.0,40.12,45.75,47.22,48.11
2014-08-07,43.7,42.07,40.59,39.71,45.34,46.81,47.7
2014-08-08,43.35,41.72,40.24,39.36,44.99,46.46,47.34
2014-08-09,43.52,41.88,40.41,39.53,45.16,46.63,47.51
2014-08-10,43.61,41.97,40.5,39.62,45.25,46.72,47.6
2014-08-11,43.86,42.22,40.75,39.87,45.5,46.97,47.85
2014-08-12,43.6,41.96,40.49,39.61,45.24,46.71,47.59
2014-08-13,43.38,41.75,40.27,39.39,45.02,46.49,47.38
2014-08-14,43.82,42.19,40.71,39.83,45.46,46.93,47.82
2014-08-15,43.95,42.31,40.84,39.96,45.59,47.06,47.94
2014-08-16,43.97,42.33,40.85,39.97,45.6,47.08,47.96
2014-08-17,43.87,42.24,40.76,39.88,45.51,46.98,47.87
2014-08-18,43.84,42.2,40.73,39.84,45.47,46.95,47.83
2014-08-19,44.18,42.54,41.07,40.19,45.82,47.29,48.17
2014-08-20,44.78,43.14,41.67,40.78,46.41,47.89,48.77
2014-08-21,45.49,43.85,42.38,41.49,47.12,48.6,49.48
2014-08-22,45.76,44.12,42.65,41.76,47.39,48.87,49.75
2014-08-23,45.85,44.21,42.74,41.86,47.49,48.96,49.84
2014-08-24,45.95,44.31,42.84,41.95,47.58,49.06,49.94
2014-08-25,46.02,44.39,42.91,42.03,47.66,49.13,50.02
2014-08-26,46.37,44.73,43.26,42.38,48.01,49.48,50.36
