Date,S&P 500,Dow Jones,NASDAQ 100,Nikkei 225,FTSE 100,DAX 30
2013-05-23,1650.510009765625,15294.5,2991.449951171875,14483.98046875,6696.7998046875,8351.98046875
2013-05-24,1649.5999755859375,15303.099609375,2991.02001953125,14612.4501953125,6654.2998046875,8305.3203125
2013-05-27,,,,14142.650390625,,8383.2998046875
2013-05-28,1660.06005859375,15409.3896484375,3011.93994140625,14311.98046875,6762.0,8480.8701171875
2013-05-29,1648.3599853515625,15302.7998046875,2994.820068359375,14326.4599609375,6627.2001953125,8336.580078125
2013-05-30,1654.4100341796875,15324.5302734375,3011.830078125,13589.0302734375,6657.0,8400.2001953125
2013-05-31,1630.739990234375,15115.5703125,2981.760009765625,13774.5400390625,6583.10009765625,8348.83984375
2013-06-03,1640.4200439453125,15254.0302734375,2990.7900390625,13261.8203125,6525.10009765625,8285.7998046875
2013-06-04,1631.3800048828125,15177.5400390625,2973.68994140625,13533.759765625,6558.60009765625,8295.9599609375
2013-06-05,1608.9000244140625,14960.58984375,2937.139892578125,13014.8701171875,6419.2998046875,8196.1796875
2013-06-06,1622.56005859375,15040.6201171875,2950.300048828125,12904.01953125,6336.10009765625,8098.81005859375
2013-06-07,1643.3800048828125,15248.1201171875,2990.8701171875,12877.5302734375,6412.0,8254.6796875
2013-06-10,1642.81005859375,15238.58984375,2990.489990234375,13514.2001953125,6400.5,8307.6904296875
2013-06-11,1626.1300048828125,15122.01953125,2959.840087890625,13317.6201171875,6340.10009765625,8222.4599609375
2013-06-12,1612.52001953125,14995.23046875,2926.139892578125,13289.3203125,6299.5,8143.27001953125
2013-06-13,1636.3599853515625,15176.080078125,2962.89990234375,12445.3798828125,6304.60009765625,8095.39013671875
2013-06-14,1626.72998046875,15070.1796875,2943.860107421875,12686.51953125,6308.2998046875,8127.9599609375
2013-06-17,1639.0400390625,15179.849609375,2971.260009765625,13033.1201171875,6330.5,8215.73046875
2013-06-18,1651.81005859375,15318.23046875,2996.090087890625,13007.2802734375,6374.2001953125,8229.509765625
2013-06-19,1628.9300537109375,15112.1904296875,2959.5,13245.2197265625,6348.7998046875,8197.080078125
2013-06-20,1588.18994140625,14758.3203125,2890.330078125,13014.580078125,6159.5,7928.47998046875
2013-06-21,1592.4300537109375,14799.400390625,2877.93994140625,13230.1298828125,6116.2001953125,7789.240234375
2013-06-24,1573.0899658203125,14659.5595703125,2848.199951171875,13062.7802734375,6029.10009765625,7692.4501953125
2013-06-25,1588.030029296875,14760.3095703125,2866.5,12969.33984375,6101.89990234375,7811.2998046875
